Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1623360279.8008032,53,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.8075318,54,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.8135817,55,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.813639,56,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.813671,57,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.8137257,58,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.8449278,59,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.845457,60,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.8726327,61,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.8878784,62,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.9003465,63,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.937554,64,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.9375968,65,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.9559138,66,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360279.9852583,67,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.0020735,68,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.0329542,69,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.041303,70,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.0595367,71,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.084865,72,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.1072996,73,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.12603,74,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.1358254,75,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.1566298,76,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.1855917,77,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.1964989,78,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.2256074,79,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.2357466,80,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.2558815,81,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.281105,82,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623360280.2959285,83,0,0,,0.3799999952316284,0.0,0.0,0.0,0.0,0.0
1623360280.3204775,84,0,0,,0.3799999952316284,0.0,0.0,0.0,0.0,0.0
1623360280.3352146,85,0,0,,0.4300000071525574,0.0,0.0,0.0,0.0,0.0
1623360280.3581786,86,0,0,,0.4300000071525574,0.0,0.0,0.0,0.0,0.0
1623360280.381012,87,0,0,,0.4699999988079071,0.0,0.0,0.0,0.0,0.0
1623360280.3984432,88,0,0,,0.4699999988079071,0.0,0.0,0.0,0.0,0.0
1623360280.4335916,89,0,0,,0.5400000214576721,0.0,0.0,0.0,0.0,0.0
1623360280.4418836,90,0,0,,0.5400000214576721,0.0,0.0,0.0,0.0,0.0
1623360280.466687,91,0,0,,0.5799999833106995,0.0,0.0,0.0,0.0,0.0
1623360280.477738,92,0,0,,0.6000000238418579,0.0,0.0,0.0,0.0,0.0
1623360280.497109,93,0,0,,0.6299999952316284,0.0,0.0,0.0,0.0,0.0
1623360280.5276017,94,0,0,,0.6600000262260437,0.0,0.0,0.0,0.0,0.0
1623360280.5338612,95,0,0,,0.6899999976158142,0.0,0.0,0.0,0.0,0.0
1623360280.5556097,96,0,0,,0.7200000286102295,0.0,0.0,0.0,0.0,0.0
1623360280.5911157,97,0,0,,0.75,0.0,0.0,0.0,0.0,0.0
1623360280.6040585,98,0,0,,0.7900000214576721,0.0,0.0,0.0,0.0,0.0
1623360280.6486344,99,0,0,,0.8199999928474426,0.0,0.0,0.0,0.0,0.0
1623360280.6486952,100,0,0,,0.8500000238418579,0.0,0.0,0.0,0.0,0.0
1623360280.67575,101,0,0,,0.8799999952316284,0.0,0.0,0.0,0.0,0.0
1623360280.6848176,102,0,0,,0.9100000262260436,0.0,0.0,0.0,0.0,0.0
1623360280.7339947,103,0,0,,0.9399999976158142,0.0,0.0,0.0,0.0,0.0
1623360280.7350142,104,0,0,,0.9700000286102296,0.0,0.0,0.0,0.0,0.0
1623360280.745575,105,0,0,,1.0,0.0,0.0,0.0,0.0,0.0
1623360280.7849815,106,0,0,,1.0199999809265137,0.0,0.0,0.0,0.0,0.0
1623360280.78503,107,0,0,,1.0499999523162842,0.0,0.0,0.0,0.0,0.0
1623360280.7985506,108,0,0,,1.0700000524520874,0.0,0.0,0.0,0.0,0.0
1623360280.8389802,109,0,0,,1.100000023841858,0.0,0.0,0.0,0.0,0.0
1623360280.840521,110,0,0,,1.1299999952316284,0.0,0.0,0.0,0.0,0.0
1623360280.8685007,111,0,0,,1.149999976158142,0.0,0.0,0.0,0.0,0.0
1623360280.8816242,112,0,0,,1.159999966621399,0.0,0.0,0.0,0.0,0.0
1623360280.9006765,113,0,0,,1.1799999475479126,0.0,0.0,0.0,0.0,0.0
1623360280.944126,114,0,0,,1.190000057220459,0.0,0.0,0.0,0.0,0.0
1623360280.9453907,115,0,0,,1.2200000286102295,0.0,0.0,0.0,0.0,0.0
1623360280.966292,116,0,0,,1.2400000095367432,0.0,0.0,0.0,0.0,0.0
1623360280.9816475,117,0,0,,1.25,0.0,0.0,0.0,0.0,0.0
1623360281.0003295,118,0,0,,1.2699999809265137,0.0,0.0,0.0,0.0,0.0
1623360281.0289257,119,0,0,,1.2699999809265137,0.0,0.0,0.0,0.0,0.0
1623360281.034487,120,0,0,,1.2899999618530271,0.0,0.0,0.0,0.0,0.0
1623360281.056238,121,0,0,,1.3200000524520874,0.0,0.0,0.0,0.0,0.0
1623360281.0753796,122,0,0,,1.3300000429153442,0.0,0.0,0.0,0.0,0.0
1623360281.0949087,123,0,0,,1.3300000429153442,0.0,0.0,0.0,0.0,0.0
1623360281.1138227,124,0,0,,1.350000023841858,0.0,0.0,0.0,0.0,0.0
1623360281.1330016,125,0,0,,1.3600000143051147,0.0,0.0,0.0,0.0,0.0
1623360281.153899,126,0,0,,1.3600000143051147,0.0,0.0,0.0,0.0,0.0
1623360281.1762316,127,0,0,,1.3600000143051147,0.0,0.0,0.0,0.0,0.0
1623360281.1949835,128,0,0,,1.3600000143051147,0.0,0.0,0.0,0.0,0.0
1623360281.2164266,129,0,0,,1.3799999952316284,0.0,0.0,0.0,0.0,0.0
1623360281.2331457,130,0,0,,1.3799999952316284,0.0,0.0,0.0,0.0,0.0
1623360281.2564688,131,0,0,,1.399999976158142,0.0,0.0,0.0,0.0,0.0
