Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1623361879.6991243,30,0,0,,0.1004376411437988,0.0,0.0,0.0,0.0,0.0
1623361879.7253468,31,0,0,,0.1337430477142334,0.0,0.0,0.0,0.0,0.0
1623361879.7610896,32,0,0,,0.1671702861785888,0.0,0.0,0.0,0.0,0.0
1623361879.8043084,33,0,0,,0.2005369663238525,0.0,0.0,0.0,0.0,0.0
1623361879.8243957,34,0,0,,0.2336077690124511,0.0,0.0,0.0,0.0,0.0
1623361879.860019,35,0,0,,0.2670056819915771,0.0,0.0,0.0,0.0,0.0
1623361879.8923118,36,0,0,,0.3003771305084228,0.0,0.0,0.0,0.0,0.0
1623361879.9243083,37,0,0,,0.3335843086242676,0.0,0.0,0.0,0.0,0.0
1623361879.9554944,38,0,0,,0.3669323921203613,0.0,0.0,0.0,0.0,0.0
1623361880.014542,39,0,0,,0.4004421234130859,0.0,0.0,0.0,0.0,0.0
1623361880.0255249,40,0,0,,0.4336926937103271,0.0,0.0,0.0,0.0,0.0
1623361880.0761237,41,0,0,,0.4670393466949463,0.0,0.0,0.0,0.0,0.0
1623361880.0905058,42,0,0,,0.5003476142883301,0.0,0.0,0.0,0.0,0.0
1623361880.124788,43,0,0,,0.5337176322937012,0.0,0.0,0.0,0.0,0.0
1623361880.1577575,44,0,0,,0.5672032833099365,0.0,0.0,0.0,0.0,0.0
1623361880.1929786,45,0,0,,0.6004023551940918,0.0,0.0,0.0,0.0,0.0
1623361880.22482,46,0,0,,0.6337363719940186,0.0,0.0,0.0,0.0,0.0
1623361880.259216,47,0,0,,0.66717529296875,0.0,0.0,0.0,0.0,0.0
1623361880.2921195,48,0,0,,0.7003300189971924,0.0,0.0,0.0,0.0,0.0
1623361880.3242972,49,0,0,,0.7337324619293213,0.0,0.0,0.0,0.0,0.0
1623361880.3580973,50,0,0,,0.7669534683227539,0.0,0.0,0.0,0.0,0.0
1623361880.388853,51,0,0,,0.8002943992614746,0.0,0.0,0.0,0.0,0.0
1623361880.423178,52,0,0,,0.8336007595062256,0.0,0.0,0.0,0.0,0.0
1623361880.4567127,53,0,0,,0.8669874668121338,0.0,0.0,0.0,0.0,0.0
1623361880.4894023,54,0,0,,0.900336742401123,0.0,0.0,0.0,0.0,0.0
1623361880.52384,55,0,0,,0.9336435794830322,0.0,0.0,0.0,0.0,0.0
1623361880.557506,56,0,0,,0.9670169353485109,0.0,0.0,0.0,0.0,0.0
1623361880.5968866,57,0,0,,1.0003728866577148,0.0,0.0,0.0,0.0,0.0
1623361880.6234765,58,0,0,,1.0337412357330322,0.0,0.0,0.0,0.0,0.0
1623361880.658172,59,0,0,,1.0671021938323977,0.0,0.0,0.0,0.0,0.0
1623361880.6920836,60,0,0,,1.1004688739776611,0.0,0.0,0.0,0.0,0.0
1623361880.7246437,61,0,0,,1.133734941482544,0.0,0.0,0.0,0.0,0.0
1623361880.7609365,62,0,0,,1.167093276977539,0.0,0.0,0.0,0.0,0.0
1623361880.789687,63,0,0,,1.2003235816955566,0.0,0.0,0.0,0.0,0.0
1623361880.8232713,64,0,0,,1.233551025390625,0.0,0.0,0.0,0.0,0.0
1623361880.859822,65,0,0,,1.2669761180877686,0.0,0.0,0.0,0.0,0.0
1623361880.8922348,66,0,0,,1.300417423248291,0.0,0.0,0.0,0.0,0.0
1623361880.9248247,67,0,0,,1.333747625350952,0.0,0.0,0.0,0.0,0.0
1623361880.9681046,68,0,0,,1.3670506477355957,0.0,0.0,0.0,0.0,0.0
1623361880.992026,69,0,0,,1.40031099319458,0.0,0.0,0.0,0.0,0.0
1623361881.0243127,70,0,0,,1.4336531162261963,0.0,0.0,0.0,0.0,0.0
1623361881.0660307,71,0,0,,1.4670283794403076,0.0,0.0,0.0,0.0,0.0
1623361881.0980349,72,0,0,,1.5003230571746826,0.0,0.0,0.0,0.0,0.0
1623361881.1235185,73,0,0,,1.5335352420806885,0.0,0.0,0.0,0.0,0.0
1623361881.161442,74,0,0,,1.5669937133789062,0.0,0.0,0.0,0.0,0.0
1623361881.1980865,75,0,0,,1.6003329753875732,0.0,0.0,0.0,0.0,0.0
1623361881.222676,76,0,0,,1.6335461139678955,0.0,0.0,0.0,0.0,0.0
1623361881.2580564,77,0,0,,1.6671488285064695,0.0,0.0,0.0,0.0,0.0
1623361881.2890897,78,0,0,,1.7002582550048828,0.0,0.0,0.0,0.0,0.0
1623361881.3217757,79,0,0,,1.7335827350616455,0.0,0.0,0.0,0.0,0.0
1623361881.358278,80,0,0,,1.7669456005096436,0.0,0.0,0.0,0.0,0.0
1623361881.3948305,81,0,0,,1.800405740737915,0.0,0.0,0.0,0.0,0.0
1623361881.4246285,82,0,0,,1.833756685256958,0.0,0.0,0.0,0.0,0.0
