Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,accel.linear.x,accel.linear.y,accel.linear.z,accel.angular.x,accel.angular.y,accel.angular.z
1623360279.875208,61,0,0,,-0.5199999809265137,0.0,0.0,0.0,0.0,0.0
1623360279.8756118,62,0,0,,-0.5410000085830688,0.0,0.0,0.0,0.0,0.0
1623360279.9015434,63,0,0,,-0.6209999918937683,0.0,0.0,0.0,0.0,0.0
1623360279.9345548,64,0,0,,-0.6100000143051147,0.0,0.0,0.0,0.0,0.0
1623360279.934597,65,0,0,,-0.5379999876022339,0.0,0.0,0.0,0.0,0.0
1623360279.9607573,66,0,0,,-0.488999992609024,0.0,0.0,0.0,0.0,0.0
1623360279.9860115,67,0,0,,-0.4569999873638153,0.0,0.0,0.0,0.0,0.0
1623360280.002502,68,0,0,,-0.4350000023841858,0.0,0.0,0.0,0.0,0.0
1623360280.032907,69,0,0,,-0.4199999868869781,0.0,0.0,0.0,0.0,0.0
1623360280.0412648,70,0,0,,-0.4110000133514404,0.0,0.0,0.0,0.0,0.0
1623360280.0635538,71,0,0,,-0.4050000011920929,0.0,0.0,0.0,0.0,0.0
1623360280.0849214,72,0,0,,-0.4009999930858612,0.0,0.0,0.0,0.0,0.0
1623360280.1102908,73,0,0,,-0.3330000042915344,0.0,0.0,0.0,0.0,0.0
1623360280.1235714,74,0,0,,-0.2220000028610229,0.0,0.0,0.0,0.0,0.0
1623360280.1354177,75,0,0,,-0.1490000039339065,0.0,0.0,0.0,0.0,0.0
1623360280.1564074,76,0,0,,-0.1000000014901161,0.0,0.0,0.0,0.0,0.0
1623360280.186021,77,0,0,,-0.0020000000949949,0.0,0.0,0.0,0.0,0.0
1623360280.1997209,78,0,0,,0.1270000040531158,0.0,0.0,0.0,0.0,0.0
1623360280.2256637,79,0,0,,0.2800000011920929,0.0,0.0,0.0,0.0,0.0
1623360280.2357934,80,0,0,,0.4460000097751617,0.0,0.0,0.0,0.0,0.0
1623360280.2578745,81,0,0,,0.621999979019165,0.0,0.0,0.0,0.0,0.0
1623360280.2810748,82,0,0,,0.7390000224113464,0.0,0.0,0.0,0.0,0.0
1623360280.2959585,83,0,0,,0.8169999718666077,0.0,0.0,0.0,0.0,0.0
1623360280.3204243,84,0,0,,0.9340000152587892,0.0,0.0,0.0,0.0,0.0
1623360280.3348866,85,0,0,,0.9480000138282776,0.0,0.0,0.0,0.0,0.0
1623360280.3574514,86,0,0,,0.9570000171661376,0.0,0.0,0.0,0.0,0.0
1623360280.3806064,87,0,0,,1.027999997138977,0.0,0.0,0.0,0.0,0.0
1623360280.3988335,88,0,0,,1.0750000476837158,0.0,0.0,0.0,0.0,0.0
1623360280.434161,89,0,0,,1.1059999465942385,0.0,0.0,0.0,0.0,0.0
1623360280.441533,90,0,0,,1.1269999742507937,0.0,0.0,0.0,0.0,0.0
1623360280.4675696,91,0,0,,1.1410000324249268,0.0,0.0,0.0,0.0,0.0
1623360280.478732,92,0,0,,1.215000033378601,0.0,0.0,0.0,0.0,0.0
1623360280.4972756,93,0,0,,1.2649999856948853,0.0,0.0,0.0,0.0,0.0
1623360280.5303369,94,0,0,,1.2979999780654907,0.0,0.0,0.0,0.0,0.0
1623360280.5374496,95,0,0,,1.3849999904632568,0.0,0.0,0.0,0.0,0.0
1623360280.5628808,96,0,0,,1.444000005722046,0.0,0.0,0.0,0.0,0.0
1623360280.5915885,97,0,0,,1.4179999828338623,0.0,0.0,0.0,0.0,0.0
1623360280.6051774,98,0,0,,1.4019999504089355,0.0,0.0,0.0,0.0,0.0
1623360280.6423993,99,0,0,,1.4550000429153442,0.0,0.0,0.0,0.0,0.0
1623360280.6429513,100,0,0,,1.4900000095367432,0.0,0.0,0.0,0.0,0.0
1623360280.675443,101,0,0,,1.5130000114440918,0.0,0.0,0.0,0.0,0.0
1623360280.6828136,102,0,0,,1.5290000438690186,0.0,0.0,0.0,0.0,0.0
1623360280.732422,103,0,0,,1.5399999618530271,0.0,0.0,0.0,0.0,0.0
1623360280.7324646,104,0,0,,1.5460000038146973,0.0,0.0,0.0,0.0,0.0
1623360280.7452044,105,0,0,,1.5509999990463257,0.0,0.0,0.0,0.0,0.0
1623360280.7842827,106,0,0,,1.491000056266785,0.0,0.0,0.0,0.0,0.0
