Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1623359634.41815,26,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.4468396,27,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.4579456,28,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.4684985,29,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.486248,30,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.4956968,31,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.5516927,32,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.55362,33,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.5549731,34,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.5964203,35,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.596599,36,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.617854,37,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.631051,38,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.651446,39,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.6875238,40,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.7031758,41,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.7335913,42,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.7550387,43,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.760079,44,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.790381,45,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.80226,46,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.8351643,47,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.8448012,48,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.8600504,49,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.891999,50,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.8996625,51,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.922151,52,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.9374566,53,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.963157,54,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.9780476,55,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359634.9919913,56,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.020963,57,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.032586,58,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.051755,59,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.082324,60,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.0935156,61,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.122736,62,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.132609,63,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.1515765,64,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.1838765,65,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623359635.1935945,66,0,0,,0.3799999952316284,0.0,0.0,0.0,0.0,0.0
1623359635.2216928,67,0,0,,0.4000000059604645,0.0,0.0,0.0,0.0,0.0
1623359635.235415,68,0,0,,0.4000000059604645,0.0,0.0,0.0,0.0,0.0
1623359635.2515738,69,0,0,,0.4300000071525574,0.0,0.0,0.0,0.0,0.0
1623359635.2777522,70,0,0,,0.4300000071525574,0.0,0.0,0.0,0.0,0.0
1623359635.2911422,71,0,0,,0.4399999976158142,0.0,0.0,0.0,0.0,0.0
