Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1623360146.8705232,38,0,0,,0.4337556362152099,0.0,0.0,0.0,0.0,0.0
1623360146.902453,39,0,0,,0.4671082496643066,0.0,0.0,0.0,0.0,0.0
1623360146.9337578,40,0,0,,0.5004467964172363,0.0,0.0,0.0,0.0,0.0
1623360146.977135,41,0,0,,0.5336828231811523,0.0,0.0,0.0,0.0,0.0
1623360147.0031147,42,0,0,,0.5670077800750732,0.0,0.0,0.0,0.0,0.0
1623360147.0463004,43,0,0,,0.6004719734191895,0.0,0.0,0.0,0.0,0.0
1623360147.080245,44,0,0,,0.6337335109710693,0.0,0.0,0.0,0.0,0.0
1623360147.110004,45,0,0,,0.6670844554901123,0.0,0.0,0.0,0.0,0.0
1623360147.1344187,46,0,0,,0.7003331184387207,0.0,0.0,0.0,0.0,0.0
1623360147.179919,47,0,0,,0.7336487770080566,0.0,0.0,0.0,0.0,0.0
1623360147.1993551,48,0,0,,0.7669484615325928,0.0,0.0,0.0,0.0,0.0
1623360147.2407346,49,0,0,,0.8003401756286621,0.0,0.0,0.0,0.0,0.0
1623360147.2667742,50,0,0,,0.8336069583892822,0.0,0.0,0.0,0.0,0.0
1623360147.3058908,51,0,0,,0.8670144081115723,0.0,0.0,0.0,0.0,0.0
1623360147.3400528,52,0,0,,0.9003570079803467,0.0,0.0,0.0,0.0,0.0
1623360147.3670752,53,0,0,,0.9337401390075684,0.0,0.0,0.0,0.0,0.0
1623360147.4321885,54,0,0,,0.96702241897583,0.0,0.0,0.0,0.0,0.0
1623360147.4505415,55,0,0,,1.000370979309082,0.0,0.0,0.0,0.0,0.0
1623360147.4785488,56,0,0,,1.0336711406707764,0.0,0.0,0.0,0.0,0.0
1623360147.5087657,57,0,0,,1.067028522491455,0.0,0.0,0.0,0.0,0.0
1623360147.5344322,58,0,0,,1.1004033088684082,0.0,0.0,0.0,0.0,0.0
1623360147.5683646,59,0,0,,1.1337416172027588,0.0,0.0,0.0,0.0,0.0
1623360147.599821,60,0,0,,1.1670615673065186,0.0,0.0,0.0,0.0,0.0
1623360147.6331656,61,0,0,,1.2002198696136477,0.0,0.0,0.0,0.0,0.0
1623360147.6669168,62,0,0,,1.2339580059051514,0.0,0.0,0.0,0.0,0.0
1623360147.6986878,63,0,0,,1.2670085430145264,0.0,0.0,0.0,0.0,0.0
1623360147.7309215,64,0,0,,1.3003051280975342,0.0,0.0,0.0,0.0,0.0
1623360147.765651,65,0,0,,1.333669662475586,0.0,0.0,0.0,0.0,0.0
1623360147.7989774,66,0,0,,1.367048740386963,0.0,0.0,0.0,0.0,0.0
1623360147.832095,67,0,0,,1.4003872871398926,0.0,0.0,0.0,0.0,0.0
1623360147.8659656,68,0,0,,1.433699131011963,0.0,0.0,0.0,0.0,0.0
1623360147.899921,69,0,0,,1.4670863151550293,0.0,0.0,0.0,0.0,0.0
1623360147.9326046,70,0,0,,1.500342607498169,0.0,0.0,0.0,0.0,0.0
1623360147.9674182,71,0,0,,1.5337119102478027,0.0,0.0,0.0,0.0,0.0
1623360147.9991314,72,0,0,,1.567002296447754,0.0,0.0,0.0,0.0,0.0
1623360148.0311222,73,0,0,,1.6002745628356934,0.0,0.0,0.0,0.0,0.0
1623360148.0683973,74,0,0,,1.6338002681732178,0.0,0.0,0.0,0.0,0.0
1623360148.0977051,75,0,0,,1.6669046878814695,0.0,0.0,0.0,0.0,0.0
1623360148.131929,76,0,0,,1.7003331184387207,0.0,0.0,0.0,0.0,0.0
1623360148.1658795,77,0,0,,1.7336738109588623,0.0,0.0,0.0,0.0,0.0
1623360148.1996548,78,0,0,,1.7671093940734863,0.0,0.0,0.0,0.0,0.0
1623360148.2343462,79,0,0,,1.80041241645813,0.0,0.0,0.0,0.0,0.0
1623360148.2659118,80,0,0,,1.833711624145508,0.0,0.0,0.0,0.0,0.0
1623360148.300736,81,0,0,,1.8671557903289795,0.0,0.0,0.0,0.0,0.0
1623360148.3340523,82,0,0,,1.900505781173706,0.0,0.0,0.0,0.0,0.0
1623360148.3662002,83,0,0,,1.9337289333343504,0.0,0.0,0.0,0.0,0.0
1623360148.3994107,84,0,0,,1.96705961227417,0.0,0.0,0.0,0.0,0.0
1623360148.432805,85,0,0,,2.000341892242432,0.0,0.0,0.0,0.0,0.0
1623360148.4667995,86,0,0,,2.033667087554932,0.0,0.0,0.0,0.0,0.0
1623360148.497808,87,0,0,,2.066985607147217,0.0,0.0,0.0,0.0,0.0
1623360148.5320678,88,0,0,,2.100433826446533,0.0,0.0,0.0,0.0,0.0
1623360148.565761,89,0,0,,2.1338253021240234,0.0,0.0,0.0,0.0,0.0
1623360148.5990026,90,0,0,,2.1670918464660645,0.0,0.0,0.0,0.0,0.0
1623360148.632377,91,0,0,,2.2003462314605717,0.0,0.0,0.0,0.0,0.0
1623360148.663875,92,0,0,,2.2336745262146,0.0,0.0,0.0,0.0,0.0
1623360148.6999133,93,0,0,,2.266995429992676,0.0,0.0,0.0,0.0,0.0
1623360148.731758,94,0,0,,2.300386667251587,0.0,0.0,0.0,0.0,0.0
1623360148.766099,95,0,0,,2.333759307861328,0.0,0.0,0.0,0.0,0.0
1623360148.799245,96,0,0,,2.3670427799224854,0.0,0.0,0.0,0.0,0.0
1623360148.8324103,97,0,0,,2.400390625,0.0,0.0,0.0,0.0,0.0
1623360148.865987,98,0,0,,2.433691501617432,0.0,0.0,0.0,0.0,0.0
1623360148.898581,99,0,0,,2.4670634269714355,0.0,0.0,0.0,0.0,0.0
1623360148.9331536,100,0,0,,2.5004422664642334,0.0,0.0,0.0,0.0,0.0
1623360148.9665935,101,0,0,,2.533634901046753,0.0,0.0,0.0,0.0,0.0
1623360148.9980834,102,0,0,,2.566929578781128,0.0,0.0,0.0,0.0,0.0
1623360149.0319767,103,0,0,,2.600342035293579,0.0,0.0,0.0,0.0,0.0
1623360149.068097,104,0,0,,2.6337077617645264,0.0,0.0,0.0,0.0,0.0
1623360149.0976863,105,0,0,,2.6670072078704834,0.0,0.0,0.0,0.0,0.0
1623360149.132352,106,0,0,,2.700410842895508,0.0,0.0,0.0,0.0,0.0
1623360149.1664224,107,0,0,,2.73366117477417,0.0,0.0,0.0,0.0,0.0
1623360149.1987138,108,0,0,,2.7669873237609863,0.0,0.0,0.0,0.0,0.0
1623360149.2327464,109,0,0,,2.800342798233032,0.0,0.0,0.0,0.0,0.0
1623360149.266492,110,0,0,,2.833728551864624,0.0,0.0,0.0,0.0,0.0
1623360149.2999263,111,0,0,,2.8670949935913086,0.0,0.0,0.0,0.0,0.0
1623360149.331251,112,0,0,,2.9003589153289795,0.0,0.0,0.0,0.0,0.0
1623360149.3651931,113,0,0,,2.933649778366089,0.0,0.0,0.0,0.0,0.0
1623360149.3985033,114,0,0,,2.967059373855591,0.0,0.0,0.0,0.0,0.0
1623360149.431401,115,0,0,,3.0002810955047607,0.0,0.0,0.0,0.0,0.0
1623360149.465371,116,0,0,,3.033726692199707,0.0,0.0,0.0,0.0,0.0
1623360149.500137,117,0,0,,3.067039966583252,0.0,0.0,0.0,0.0,0.0
