Time,data
1623360024.260893,0.0
1623360024.274146,0.0
1623360024.2801487,0.0
1623360024.2900743,0.0
1623360024.3004994,0.0
1623360024.312583,0.0
1623360024.3201456,0.0
1623360024.330143,0.0
1623360024.340162,0.0
1623360024.3500905,0.0
1623360024.3602405,0.0
1623360024.370304,0.0
1623360024.3801737,0.0
1623360024.3903508,0.0
1623360024.4002652,0.0
1623360024.4104223,0.0
1623360024.4200828,0.0
1623360024.430164,0.0
1623360024.4400845,0.0
1623360024.4500806,0.0
1623360024.460135,0.0
1623360024.4700668,0.0
1623360024.4801176,0.0
1623360024.4901052,0.0
1623360024.50008,0.0
1623360024.5102975,0.0
1623360024.5204144,0.0
1623360024.5330815,0.0
1623360024.5400524,0.0
1623360024.5501502,0.0
1623360024.5600965,0.0
1623360024.5709715,0.0
1623360024.5802257,0.0
1623360024.590097,0.0
1623360024.6000996,0.0
1623360024.6126645,0.0
1623360024.6201203,0.0
1623360024.630386,0.0
1623360024.6402676,0.0
1623360024.6502056,0.0
1623360024.6608531,0.0
1623360024.6700845,0.0
1623360024.6801598,0.0
1623360024.690077,0.0
1623360024.700106,0.0
1623360024.7100625,0.0
1623360024.7200098,0.0
1623360024.7300427,0.0
1623360024.7400866,0.0
1623360024.7500627,0.0
1623360024.7619686,0.0
1623360024.770176,0.0
1623360024.7800798,0.0
1623360024.7903068,0.0
1623360024.8001018,0.0
1623360024.8124638,0.0
1623360024.8202324,0.0
1623360024.8302,0.0
1623360024.8404374,0.0
1623360024.8503444,0.0
1623360024.8607953,0.0
1623360024.8702104,0.0
1623360024.8801851,0.0
1623360024.8902082,0.0
1623360024.901415,0.0
1623360024.9102476,0.0
1623360024.9233525,0.0
1623360024.9310527,0.0
1623360024.9403226,0.0
1623360024.9507222,0.0
1623360024.9617844,0.0
1623360024.9714413,0.0
1623360024.9803238,0.0
1623360024.9906783,0.0
1623360025.0004306,0.0
1623360025.0121236,0.0
1623360025.0202527,0.0
1623360025.030162,0.0
1623360025.0401146,0.0
1623360025.0502703,0.0
1623360025.0607605,0.0
1623360025.0702274,0.0
1623360025.0801432,0.0
1623360025.0901136,0.0
1623360025.100119,0.0
1623360025.1102152,0.0
1623360025.120319,0.0
1623360025.1301758,0.0
1623360025.140252,0.0
1623360025.1501584,0.0
1623360025.1600904,0.0
1623360025.1701777,0.0
1623360025.1802895,0.0
1623360025.190126,0.0
1623360025.2002206,0.0
1623360025.2102318,0.0
1623360025.2203035,0.0
1623360025.230227,0.0
1623360025.240159,0.0
1623360025.2502072,0.0
1623360025.260148,0.0
1623360025.2702234,0.0
1623360025.28013,0.0
1623360025.2901385,0.0
1623360025.3001833,0.0
1623360025.3101232,0.0
1623360025.3201327,0.0
1623360025.3303423,0.0
1623360025.3401709,0.0
1623360025.3501408,0.0
1623360025.3604093,0.0
1623360025.3701448,0.0
1623360025.3801303,0.0
1623360025.3929513,0.0
1623360025.4009712,0.0
1623360025.4104524,0.0
1623360025.4201114,0.0
1623360025.4301257,0.0
1623360025.440199,0.0
1623360025.4503987,0.0
1623360025.4600832,0.0
1623360025.4701753,0.0
1623360025.4803312,0.0
1623360025.4901335,0.0
1623360025.5001712,0.0
1623360025.5110948,0.0
1623360025.520172,0.0
1623360025.530241,0.0
1623360025.5402288,0.0
1623360025.5508623,0.0
1623360025.560357,0.0
1623360025.5701778,0.0
1623360025.5802398,0.0
1623360025.590665,0.0
1623360025.6010022,0.0
1623360025.6103115,0.0
1623360025.6203055,0.0
1623360025.6302807,0.0
1623360025.6402314,0.0
1623360025.6502,0.0
1623360025.6601095,0.0
1623360025.6700633,0.0
1623360025.6802251,0.0
1623360025.690385,0.0
1623360025.7005055,0.0
1623360025.7102604,0.0
1623360025.720439,0.0
1623360025.7305236,0.0
1623360025.7406092,0.0
1623360025.750474,0.0
1623360025.760437,0.0
1623360025.7708657,0.0
1623360025.780162,0.0
1623360025.7901511,0.0
1623360025.8001454,0.0
1623360025.810394,0.0
1623360025.8201995,0.0
1623360025.8306282,0.0
1623360025.8403487,0.0
1623360025.8507016,0.0
1623360025.860244,0.0
1623360025.870571,0.0
1623360025.880641,0.0
1623360025.8908796,0.0
1623360025.9001217,0.0
1623360025.9105816,0.0
1623360025.9201238,0.0
1623360025.9302766,0.0
1623360025.9403448,0.0
1623360025.9506097,0.0
1623360025.9603372,0.0
1623360025.9701767,0.0
1623360025.9801154,0.0
1623360025.9904444,0.0
1623360026.0001807,0.0
1623360026.010397,0.0
1623360026.0202172,0.0
1623360026.039657,0.0
1623360026.0403306,0.0
1623360026.0502634,0.0
1623360026.060182,0.0
1623360026.0709796,0.0
1623360026.0800886,0.0
1623360026.0923345,0.0
1623360026.1003313,0.0
1623360026.110703,0.0
1623360026.1202204,0.0
1623360026.130554,0.0
1623360026.1400824,0.0
1623360026.1505103,0.0
1623360026.160347,0.0
1623360026.1701438,0.0
1623360026.1804366,0.0
1623360026.1903465,0.0
1623360026.2004583,0.0
1623360026.2103608,0.0
1623360026.2204463,0.0
1623360026.2304466,0.0
1623360026.2403097,0.0
1623360026.2501116,0.0
1623360026.2602909,0.0
1623360026.2704048,0.0
1623360026.2802138,0.0
1623360026.290249,0.0
1623360026.3002682,0.0
1623360026.3105557,0.0
1623360026.320196,0.0
1623360026.3304622,0.0
1623360026.3403552,0.0
1623360026.3504157,0.0
1623360026.3603127,0.0
1623360026.370098,0.0
1623360026.380377,0.0
1623360026.3902686,0.0
1623360026.4012058,0.0
1623360026.410482,0.0
1623360026.420355,0.0
1623360026.430184,0.0
1623360026.4401605,0.0
1623360026.450517,0.0
1623360026.4607456,0.0
1623360026.4708145,0.0
1623360026.480508,0.0
1623360026.4905226,0.0
1623360026.5005765,0.0
1623360026.5102746,0.0
1623360026.5201623,0.0
1623360026.5304418,0.0
1623360026.5402052,0.0
1623360026.5504224,0.0
1623360026.5603275,0.0
1623360026.5702374,0.0
1623360026.5805976,0.0
1623360026.593764,0.0
1623360026.6018422,0.0
1623360026.6105669,0.0
1623360026.6211247,0.0
1623360026.6307018,0.0
1623360026.6413608,0.0
1623360026.6503017,0.0
1623360026.6632314,0.0
1623360026.6745074,0.0
1623360026.6824038,0.0
1623360026.6902032,0.0
1623360026.700986,0.0
1623360026.7142932,0.0
1623360026.7208054,0.0
1623360026.7307909,0.0
1623360026.7422338,0.0
1623360026.7507749,0.0
1623360026.7653694,0.0
1623360026.7708328,0.0
1623360026.7807791,0.0
1623360026.790819,0.0
1623360026.8026433,0.0
1623360026.8123367,0.0
1623360026.8207974,0.0
1623360026.8308485,0.0
1623360026.840818,0.0
1623360026.8508325,0.0
1623360026.8632586,0.0
1623360026.87086,0.0
1623360026.880908,0.0
1623360026.890905,0.0
1623360026.900983,0.0
1623360026.912424,0.0
1623360026.9208302,0.0
1623360026.9308612,0.0
1623360026.9443014,0.0
1623360026.9508345,0.0
1623360026.9602237,0.0
1623360026.970876,0.0
1623360026.9814153,0.0
1623360026.9906013,0.0
1623360027.000195,0.0
1623360027.0108366,0.0
1623360027.020397,0.0
1623360027.0304644,0.0
1623360027.0404327,0.0
1623360027.0504503,0.0
1623360027.0629542,0.0
1623360027.0701385,0.0
1623360027.0803463,0.0
1623360027.0905795,0.0
1623360027.1008878,0.0
1623360027.11157,0.0
1623360027.121419,0.0
1623360027.1305158,0.0
1623360027.1402948,0.0
1623360027.1506605,0.0
1623360027.1606414,0.0
1623360027.1725852,0.0
1623360027.1800203,0.0
1623360027.190427,0.0
1623360027.2002983,0.0
1623360027.2102697,0.0
1623360027.2218251,0.0
1623360027.23574,0.0
1623360027.240235,0.0
1623360027.250065,0.0
1623360027.260179,0.0
1623360027.2700834,0.0
1623360027.2800624,0.0
1623360027.2900188,0.0
1623360027.3009713,0.0
1623360027.3100767,0.0
1623360027.319656,0.0
1623360027.3298962,0.0
1623360027.3396854,0.0
1623360027.3497396,0.0
1623360027.3596466,0.0
1623360027.369678,0.0
1623360027.379774,0.0
1623360027.38993,0.0
1623360027.3996947,0.0
1623360027.4096282,0.0
1623360027.4196763,0.0
1623360027.4298313,0.0
1623360027.439644,0.0
1623360027.4496732,0.0
1623360027.459581,0.0
1623360027.4697416,0.0
1623360027.4800951,0.0
1623360027.4896636,0.0
1623360027.4997308,0.0
1623360027.510054,0.0
1623360027.520053,0.0
1623360027.5297153,0.0
1623360027.540023,0.0
1623360027.5497546,0.0
1623360027.5599425,0.0
1623360027.570009,0.0
1623360027.5802355,0.0
1623360027.590464,0.0
1623360027.6000674,0.0
1623360027.609784,0.0
1623360027.6197162,0.0
1623360027.630044,0.0
1623360027.6420057,0.0
1623360027.649917,0.0
1623360027.659732,0.0
1623360027.6696873,0.0
1623360027.6796498,0.0
1623360027.6897068,0.0
1623360027.6997075,0.0
1623360027.7096317,0.0
1623360027.7196963,0.0
1623360027.7296522,0.0
1623360027.739699,0.0
1623360027.7496896,0.0
1623360027.7597108,0.0
1623360027.7696393,0.0
1623360027.7797277,0.0
1623360027.7898705,0.0
1623360027.7996676,0.0
1623360027.8099957,0.0
1623360027.819706,0.0
1623360027.8297298,0.0
1623360027.8397307,0.0
1623360027.8497443,0.0
1623360027.8596463,0.0
1623360027.8696847,0.0
1623360027.879779,0.0
1623360027.8897188,0.0
1623360027.899706,0.0
1623360027.9097228,0.0
