Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1623361230.5755618,34,0,0,,0.6100000143051147,0.0,0.0,0.0,0.0,0.0
1623361230.585234,35,0,0,,0.6100000143051147,0.0,0.0,0.0,0.0,0.0
1623361230.612987,36,0,0,,0.5799999833106995,0.0,0.0,0.0,0.0,0.0
1623361230.6130831,37,0,0,,0.5699999928474426,0.0,0.0,0.0,0.0,0.0
1623361230.635053,38,0,0,,0.550000011920929,0.0,0.0,0.0,0.0,0.0
1623361230.6561232,39,0,0,,0.550000011920929,0.0,0.0,0.0,0.0,0.0
1623361230.6660206,40,0,0,,0.5400000214576721,0.0,0.0,0.0,0.0,0.0
1623361230.6894658,41,0,0,,0.5199999809265137,0.0,0.0,0.0,0.0,0.0
1623361230.7157974,42,0,0,,0.5,0.0,0.0,0.0,0.0,0.0
1623361230.7284734,43,0,0,,0.4900000095367431,0.0,0.0,0.0,0.0,0.0
1623361230.7548351,44,0,0,,0.4699999988079071,0.0,0.0,0.0,0.0,0.0
1623361230.767527,45,0,0,,0.4600000083446502,0.0,0.0,0.0,0.0,0.0
1623361230.7888284,46,0,0,,0.4399999976158142,0.0,0.0,0.0,0.0,0.0
1623361230.8197136,47,0,0,,0.4099999964237213,0.0,0.0,0.0,0.0,0.0
1623361230.8283527,48,0,0,,0.4099999964237213,0.0,0.0,0.0,0.0,0.0
1623361230.850534,49,0,0,,0.4000000059604645,0.0,0.0,0.0,0.0,0.0
1623361230.8685002,50,0,0,,0.3799999952316284,0.0,0.0,0.0,0.0,0.0
1623361230.8879836,51,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361230.9247642,52,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361230.9469955,53,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361230.9648044,54,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361230.9821084,55,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361230.9966688,56,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.0423944,57,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.042792,58,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.0750358,59,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.075379,60,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.1220267,61,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.1223495,62,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.1510167,63,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.172902,64,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.191018,65,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.2014248,66,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.239648,67,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.250219,68,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.294852,69,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.3408186,70,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.3485668,71,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.3931315,72,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.3933442,73,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.4236195,74,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.4362369,75,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.4448,76,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1623361231.5056508,77,0,0,,0.3799999952316284,0.0,0.0,0.0,0.0,0.0
1623361231.505697,78,0,0,,0.4099999964237213,0.0,0.0,0.0,0.0,0.0
1623361231.5059276,79,0,0,,0.4099999964237213,0.0,0.0,0.0,0.0,0.0
1623361231.5064385,80,0,0,,0.4600000083446502,0.0,0.0,0.0,0.0,0.0
1623361231.5064826,81,0,0,,0.4600000083446502,0.0,0.0,0.0,0.0,0.0
