Time,data
1623359872.6297228,0.0
1623359872.641616,0.0
1623359872.6497042,0.0
1623359872.659639,0.0
1623359872.6698525,0.0
1623359872.679639,0.0
1623359872.6896193,0.0
1623359872.7035265,0.0
1623359872.709733,0.0
1623359872.7196352,0.0
1623359872.729601,0.0
1623359872.7396214,0.0
1623359872.7496307,0.0
1623359872.7595966,0.0
1623359872.7695923,0.0
1623359872.7796545,0.0
1623359872.7896314,0.0
1623359872.799637,0.0
1623359872.809781,0.0
1623359872.8196294,0.0
1623359872.829617,0.0
1623359872.8396487,0.0
1623359872.849641,0.0
1623359872.8596494,0.0
1623359872.869635,0.0
1623359872.8796086,0.0
1623359872.8895946,0.0
1623359872.8995883,0.0
1623359872.9095638,0.0
1623359872.919583,0.0
1623359872.9295745,0.0
1623359872.939563,0.0
1623359872.9499424,0.0
1623359872.9595587,0.0
1623359872.969569,0.0
1623359872.979562,0.0
1623359872.9896414,0.0
1623359872.999698,0.0
1623359873.0096188,0.0
1623359873.0196605,0.0
1623359873.0296395,0.0
1623359873.0397384,0.0
1623359873.049729,0.0
1623359873.0598276,0.0
1623359873.069671,0.0
1623359873.0796494,0.0
1623359873.089671,0.0
1623359873.0996654,0.0
1623359873.1095812,0.0
1623359873.119814,0.0
1623359873.1296768,0.0
1623359873.1402402,0.0
1623359873.149844,0.0
1623359873.1595943,0.0
1623359873.1697898,0.0
1623359873.1797364,0.0
1623359873.1898391,0.0
1623359873.199742,0.0
1623359873.2097757,0.0
1623359873.2199342,0.0
1623359873.2298388,0.0
1623359873.240024,0.0
1623359873.2498918,0.0
1623359873.2597227,0.0
1623359873.2697904,0.0
1623359873.279786,0.0
1623359873.289744,0.0
1623359873.2999308,0.0
1623359873.309697,0.0
1623359873.319711,0.0
1623359873.3297632,0.0
1623359873.3402295,0.0
1623359873.3502672,0.0
1623359873.3600364,0.0
1623359873.3700178,0.0
1623359873.379654,0.0
1623359873.3896365,0.0
1623359873.3997052,0.0
1623359873.4096465,0.0
1623359873.4195788,0.0
1623359873.4295864,0.0
1623359873.4396968,0.0
1623359873.4496102,0.0
1623359873.4596126,0.0
1623359873.4697902,0.0
1623359873.4796083,0.0
1623359873.48969,0.0
1623359873.499689,0.0
1623359873.5096571,0.0
1623359873.519632,0.0
1623359873.5295997,0.0
1623359873.5396962,0.0
1623359873.5496693,0.0
1623359873.5596788,0.0
1623359873.569583,0.0
1623359873.579669,0.0
1623359873.5896938,0.0
1623359873.5996528,0.0
1623359873.6096566,0.0
1623359873.619665,0.0
1623359873.629672,0.0
1623359873.6396687,0.0
1623359873.6505778,0.0
1623359873.660812,0.0
1623359873.6696386,0.0
1623359873.6796684,0.0
1623359873.6896672,0.0
1623359873.69966,0.0
1623359873.7096362,0.0
1623359873.7196646,0.0
1623359873.7296212,0.0
1623359873.7411566,0.0
1623359873.749557,0.0
1623359873.7595794,0.0
1623359873.7695997,0.0
1623359873.7795985,0.0
1623359873.7896588,0.0
1623359873.7996051,0.0
1623359873.80961,0.0
1623359873.8195937,0.0
1623359873.8295903,0.0
1623359873.8395815,0.0
1623359873.8498788,0.0
1623359873.8597455,0.0
1623359873.869704,0.0
1623359873.8799508,0.0
1623359873.889752,0.0
1623359873.899892,0.0
1623359873.9100475,0.0
1623359873.9196212,0.0
1623359873.9297383,0.0
1623359873.9397633,0.0
1623359873.949787,0.0
1623359873.9595916,0.0
1623359873.9699206,0.0
1623359873.9796753,0.0
1623359873.9895864,0.0
1623359873.9996264,0.0
1623359874.0097148,0.0
1623359874.0196264,0.0
1623359874.0297165,0.0
1623359874.0396843,0.0
1623359874.0497184,0.0
1623359874.059668,0.0
1623359874.0697567,0.0
1623359874.079731,0.0
1623359874.0915487,0.0
1623359874.0997024,0.0
1623359874.109635,0.0
1623359874.119728,0.0
1623359874.1297169,0.0
1623359874.1397488,0.0
1623359874.149819,0.0
1623359874.159797,0.0
1623359874.1697402,0.0
1623359874.1799097,0.0
1623359874.1898434,0.0
1623359874.2000575,0.0
1623359874.2098134,0.0
1623359874.2197728,0.0
1623359874.2297025,0.0
1623359874.2401152,0.0
1623359874.2501314,0.0
1623359874.2598002,0.0
1623359874.2699156,0.0
1623359874.2797654,0.0
1623359874.28971,0.0
1623359874.2996635,0.0
1623359874.3097324,0.0
1623359874.3196795,0.0
1623359874.3296611,0.0
1623359874.3397126,0.0
1623359874.349743,0.0
1623359874.3599665,0.0
1623359874.3700356,0.0
1623359874.3801005,0.0
1623359874.3897264,0.0
1623359874.4000285,0.0
1623359874.4097447,0.0
1623359874.4198542,0.0
1623359874.4297276,0.0
1623359874.4400573,0.0
1623359874.4498148,0.0
1623359874.459701,0.0
1623359874.4700854,0.0
1623359874.4797747,0.0
1623359874.4897358,0.0
1623359874.4997702,0.0
1623359874.509686,0.0
1623359874.5200608,0.0
1623359874.5299735,0.0
1623359874.5397737,0.0
1623359874.549706,0.0
1623359874.5597107,0.0
1623359874.569758,0.0
1623359874.5797548,0.0
1623359874.589882,0.0
1623359874.599911,0.0
1623359874.6098735,0.0
1623359874.619787,0.0
1623359874.629879,0.0
1623359874.6398046,0.0
1623359874.6501489,0.0
1623359874.6596577,0.0
1623359874.6696846,0.0
1623359874.6797037,0.0
1623359874.6897604,0.0
1623359874.6996622,0.0
