Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,accel.linear.x,accel.linear.y,accel.linear.z,accel.angular.x,accel.angular.y,accel.angular.z
1623359167.3576891,29,0,0,,-0.2919999957084656,0.0,0.0,0.0,0.0,0.0
1623359167.3796086,30,0,0,,-0.2599999904632568,0.0,0.0,0.0,0.0,0.0
1623359167.388162,31,0,0,,-0.238999992609024,0.0,0.0,0.0,0.0,0.0
1623359167.395126,32,0,0,,-0.289000004529953,0.0,0.0,0.0,0.0,0.0
1623359167.4270065,33,0,0,,-0.3219999969005584,0.0,0.0,0.0,0.0,0.0
1623359167.4399147,34,0,0,,-0.3440000116825104,0.0,0.0,0.0,0.0,0.0
1623359167.4640317,35,0,0,,-0.3589999973773956,0.0,0.0,0.0,0.0,0.0
1623359167.4783444,36,0,0,,-0.3689999878406524,0.0,0.0,0.0,0.0,0.0
1623359167.486235,37,0,0,,-0.375,0.0,0.0,0.0,0.0,0.0
1623359167.5169313,38,0,0,,-0.3790000081062317,0.0,0.0,0.0,0.0,0.0
1623359167.525445,39,0,0,,-0.3819999992847442,0.0,0.0,0.0,0.0,0.0
1623359167.5547526,40,0,0,,-0.3840000033378601,0.0,0.0,0.0,0.0,0.0
1623359167.575904,41,0,0,,-0.3849999904632568,0.0,0.0,0.0,0.0,0.0
1623359167.5859363,42,0,0,,-0.3860000073909759,0.0,0.0,0.0,0.0,0.0
1623359167.6161635,43,0,0,,-0.3869999945163727,0.0,0.0,0.0,0.0,0.0
1623359167.625176,44,0,0,,-0.3880000114440918,0.0,0.0,0.0,0.0,0.0
1623359167.6591144,45,0,0,,-0.3889999985694885,0.0,0.0,0.0,0.0,0.0
1623359167.6723635,46,0,0,,-0.3899999856948852,0.0,0.0,0.0,0.0,0.0
1623359167.6853702,47,0,0,,-0.3899999856948852,0.0,0.0,0.0,0.0,0.0
1623359167.7174704,48,0,0,,-0.3899999856948852,0.0,0.0,0.0,0.0,0.0
1623359167.7261083,49,0,0,,-0.4550000131130218,0.0,0.0,0.0,0.0,0.0
1623359167.758102,50,0,0,,-0.4979999959468841,0.0,0.0,0.0,0.0,0.0
1623359167.7682073,51,0,0,,-0.4620000123977661,0.0,0.0,0.0,0.0,0.0
1623359167.785606,52,0,0,,-0.4390000104904175,0.0,0.0,0.0,0.0,0.0
1623359167.816353,53,0,0,,-0.4230000078678131,0.0,0.0,0.0,0.0,0.0
1623359167.8258176,54,0,0,,-0.4129999876022339,0.0,0.0,0.0,0.0,0.0
1623359167.8579197,55,0,0,,-0.4059999883174896,0.0,0.0,0.0,0.0,0.0
1623359167.869528,56,0,0,,-0.4009999930858612,0.0,0.0,0.0,0.0,0.0
1623359167.8860192,57,0,0,,-0.3980000019073486,0.0,0.0,0.0,0.0,0.0
1623359167.9168737,58,0,0,,-0.3310000002384186,0.0,0.0,0.0,0.0,0.0
1623359167.927695,59,0,0,,-0.221000000834465,0.0,0.0,0.0,0.0,0.0
