Time,data
1623361872.150868,0.0
1623361872.1599548,0.0
1623361872.169911,0.0
1623361872.1796737,0.0
1623361872.1896265,0.0
1623361872.199589,0.0
1623361872.2096124,0.0
1623361872.2196472,0.0
1623361872.2296588,0.0
1623361872.239608,0.0
1623361872.2496445,0.0
1623361872.259597,0.0
1623361872.2697177,0.0
1623361872.2796535,0.0
1623361872.2897017,0.0
1623361872.300027,0.0
1623361872.3097458,0.0
1623361872.319639,0.0
1623361872.3296106,0.0
1623361872.339784,0.0
1623361872.3497982,0.0
1623361872.359788,0.0
1623361872.36981,0.0
1623361872.37979,0.0
1623361872.3901403,0.0
1623361872.3996391,0.0
1623361872.4097686,0.0
1623361872.4196968,0.0
1623361872.4299204,0.0
1623361872.440014,0.0
1623361872.4500315,0.0
1623361872.4601064,0.0
1623361872.469678,0.0
1623361872.4795988,0.0
1623361872.4897702,0.0
1623361872.4997492,0.0
1623361872.5097318,0.0
1623361872.519723,0.0
1623361872.5297089,0.0
1623361872.5396912,0.0
1623361872.5496771,0.0
1623361872.559701,0.0
1623361872.569682,0.0
1623361872.5796666,0.0
1623361872.5896945,0.0
1623361872.5997918,0.0
1623361872.6097107,0.0
1623361872.626876,0.0
1623361872.629604,0.0
1623361872.6399434,0.0
1623361872.649913,0.0
1623361872.6596458,0.0
1623361872.6701677,0.0
1623361872.679655,0.0
1623361872.6897051,0.0
1623361872.6997766,0.0
1623361872.7096925,0.0
1623361872.7197368,0.0
1623361872.7300246,0.0
1623361872.7396894,0.0
1623361872.7497015,0.0
1623361872.7597425,0.0
1623361872.769653,0.0
1623361872.7798295,0.0
1623361872.7897625,0.0
1623361872.7996893,0.0
1623361872.8096664,0.0
1623361872.8197763,0.0
1623361872.8297553,0.0
1623361872.8417428,0.0
1623361872.8496592,0.0
1623361872.8596094,0.0
1623361872.8696606,0.0
1623361872.879627,0.0
1623361872.8897471,0.0
1623361872.8997624,0.0
1623361872.9096377,0.0
1623361872.9196515,0.0
1623361872.929643,0.0
1623361872.939741,0.0
1623361872.9498727,0.0
1623361872.9600189,0.0
1623361872.9701264,0.0
1623361872.98378,0.0
1623361872.9900353,0.0
1623361873.0000434,0.0
1623361873.0103776,0.0
1623361873.0198834,0.0
1623361873.0298517,0.0
1623361873.039642,0.0
1623361873.0496504,0.0
1623361873.0596216,0.0
1623361873.0696473,0.0
1623361873.0796144,0.0
1623361873.0896363,0.0
1623361873.099632,0.0
1623361873.1096275,0.0
1623361873.1315715,0.0
1623361873.1318042,0.0
1623361873.139662,0.0
1623361873.149727,0.0
1623361873.1596267,0.0
1623361873.1697092,0.0
1623361873.1800032,0.0
1623361873.1904638,0.0
1623361873.2002497,0.0
1623361873.2101204,0.0
1623361873.2252228,0.0
1623361873.230133,0.0
1623361873.2407403,0.0
1623361873.2500403,0.0
1623361873.260146,0.0
